Magnitude	Depth	Distance(km)	Vs30	CDI	Instrumental_intensity
4.4	21.3	15.51781732	318.8727417	3.8	4.82082
4.4	21.3	29.20194457	364.5950012	3.7	5.13041
4.4	21.3	36.15133258	161.525177	3.6	3.77999
4.4	21.3	68.3546102	399.7586975	2.7	2.77239
4.4	21.3	25.33626098	441.3581543	4.1	5.30109
4.4	21.3	40.76163681	258.25177	3.7	3.35907
4.4	21.3	23.26492937	265.4570007	3.2	4.90822
4.4	21.3	4.245657306	496.7002563	3.6	4.86967
4.4	21.3	15.35507768	720.4771729	3.7	4.4793
4.4	21.3	16.57385718	431.2831421	3.1	4.30192
4.4	21.3	26.40578651	322.4631958	3.6	3.30192
5.3	9.8	137.9748069	293.2257385	3.1	2.98925
5.3	9.8	116.9151583	315.228241	3.9	2.8875
5.3	9.8	88.6110933	360.9479675	3.4	3.18814
5.3	9.8	109.5398172	339.9439392	2.6	3.52748
5.3	9.8	110.1171569	277.7340698	3.8	2.95628
5.3	9.8	83.57835524	344.5159302	3.1	2.9575
5.3	9.8	67.93948961	324.2528992	3	4.79829
5.3	9.8	61.24835734	243.1437073	3.6	5.3309
5.3	9.8	61.61910084	247.8866119	4	5.23193
5.3	9.8	85.82004016	268.2477722	3.3	3.08784
5.3	9.8	65.35251014	242.1759949	3.4	4.1894
5.3	9.8	69.48271711	349.3016357	4.5	3.51069
5.3	9.8	68.71847363	245.2002411	3.8	3.78159
5.3	9.8	74.12746287	306.6296997	2.7	3.34338
5.3	9.8	66.97379854	333.6753845	3.3	3.77816
5.3	9.8	67.44814227	272.7703857	3.9	4.50219
5.3	9.8	67.83400669	416.5893555	3.4	3.35326
5.3	9.8	68.97237994	246.2851868	3.8	3.78896
5.3	9.8	112.6554668	318.5063782	2.7	3.15907
5.3	9.8	96.24722481	425.1835938	2.6	2.79428
5.3	9.8	97.91649192	319.4064636	3.7	4.70808
5.3	9.8	67.43767568	344.8798828	3.2	4.44791
5.3	9.8	62.03150197	238.8612213	4.5	5.59945
5.3	9.8	80.267745	326.0301514	3.4	2.87027
5.3	9.8	70.12687227	391.8901062	2.9	3.92995
5.3	9.8	99.45393946	285.3822937	3.4	2.82169
5.3	9.8	126.7244803	350.5891113	3.4	2.92003
5.3	9.8	113.538613	311.2938232	3.8	2.99587
5.3	9.8	91.98276817	330.6783142	2.7	2.79173
5.3	9.8	99.07198319	277.1630554	2.7	2.94279
5.3	9.8	82.49392617	344.6783142	3.4	3.92361
5.3	9.8	104.1159522	350.1144714	2.2	2.45003
5.3	9.8	125.8934162	310.6630859	3	2.97359
5.3	9.8	79.35850338	310.8014832	3.1	2.97242
5.3	9.8	68.14030859	373.8856812	3.1	3.13816
5.3	9.8	123.2172666	418.5463257	2.2	2.19552
5.3	9.8	69.07423404	418.7107849	2.7	3.1346
5.3	9.8	73.6439225	376.0122986	4.3	3.63581
5.3	9.8	141.8656406	211.5189819	2.7	2.39605
5.3	9.8	92.8041456	327.9503479	3.1	3.17609
5.3	9.8	66.69774538	332.1638184	3.3	3.94987
5.3	9.8	135.4287046	325.953949	2.4	2.57251
5.3	9.8	107.3239902	369.8778381	2.5	3.59519
5.3	9.8	121.9407805	328.3620605	2.1	2.50926
4.5	12.9	32.30856074	274.2989502	3.8	4.24521
4.5	12.9	60.60078232	329.0065918	3.4	4.43343
4.5	12.9	30.35314789	255.2074432	3.7	5.12354
4.5	12.9	36.95966985	260.6421814	4.3	3.57256
4.5	12.9	30.50736384	794.8417358	3.4	3.75874
4.5	12.9	25.60706294	380.4976501	3.7	3.56699
4.5	12.9	33.00674692	323.6960449	4.1	3.7796
4.5	12.9	36.86972622	339.5283508	4.1	5.24723
4.5	12.9	20.73670569	385.3669128	2.7	4.30605
4.5	12.9	51.5986625	237.7683868	2.9	3.33365
4.5	12.9	20.20374026	326.5749512	4.1	5.44844
4.5	12.9	33.24061359	326.3528137	2.7	4.16664
4.5	12.9	43.84140017	324.194397	3.8	4.61778
4.5	12.9	67.19680837	753.4896851	2.7	3.0862
4.5	12.9	36.59061826	340.3367615	4.1	6.23191
4.5	12.9	58.60741394	505.5352783	4.5	2.93986
4.5	12.9	64.99399345	361.1778259	3.1	3.43213
4.5	12.9	69.27605087	372.4888306	2.2	3.22145
4.5	12.9	76.59233935	383.594574	3.1	3.50776
4.5	12.9	87.24222394	344.9423523	2.7	3.04629
4.5	12.9	61.73922532	375.5310974	3.4	3.59377
4.5	12.9	67.13286031	367.6837158	3.7	4.84498
4.5	12.9	97.39984282	255.4250793	3.3	3.19737
4.5	12.9	115.257585	272.4651184	2.9	3.74117
4.5	12.9	100.0610024	255.94104	2.6	3.12579
4.5	12.9	94.84187677	334.5426636	2.2	3.89507
4.5	12.9	55.58385096	341.8184814	2.2	3.86222
4.5	12.9	103.3216375	296.8273315	2.7	3.30058
4.5	12.9	103.0770291	278.2893066	3.5	2.77163
4.5	12.9	110.0321857	249.9461212	3.4	2.84658
4.5	12.9	106.8156658	310.7657166	2.9	2.83976
4.5	12.9	112.3085329	222.8465729	2.2	3.1157
4.5	12.9	112.4574025	232.7233734	4.1	2.80927
4.5	12.9	115.6075058	192.8178406	3.1	3.82285
4.5	12.9	109.0077448	214.8119659	3.1	3.6128
4.5	12.9	107.4777571	210.7472229	2.9	3.14695
4.5	12.9	108.3754529	230.4061432	2.3	3.27736
4.5	12.9	66.17657007	350.7228394	3.5	3.23186
4.5	12.9	52.15622949	346.9151611	3.6	4.17826
4.5	12.9	51.76921826	633.2290649	3.5	3.70871
4.5	12.9	65.33724378	354.9957886	3.3	2.8762
4.5	12.9	43.75078729	398.217804	3.9	4.76859
4.5	12.9	43.83705846	267.3979187	3.9	4.72931
4.5	12.9	37.75014149	544.9629517	3.7	4.37475
4.5	12.9	48.71582247	569.7111816	2.9	3.04411
4.5	12.9	56.62446131	456.2001038	3.4	3.63416
4.5	12.9	119.5620476	227.8712158	2.3	2.94554
4.5	12.9	118.6241242	291.0671692	3.4	3.03188
4.5	12.9	132.5705184	261.9712524	2.7	3.32901
4.5	12.9	121.9241295	277.7321472	2.4	3.68793
4.5	12.9	124.2985659	248.2962952	4	3.17744
4.5	12.9	123.8607143	240.3431244	2.7	3.51806
4.5	12.9	124.5020871	238.8723602	3	3.20203
4.5	12.9	26.41313052	341.219574	3.1	5.7858
4.5	12.9	44.82751862	670.1553955	4.2	3.72668
4.5	12.9	23.73414004	307.4013977	3.8	5.95199
4.5	12.9	49.06455221	370.8678894	2.7	4.2329
